프로젝트 제목,타입,금액,기간,유형,레벨,기술들,위치
B2B 솔루션 및 랜딩 페이지 백엔드 개발,"월 금액6,000,000","6,000,000",90일,개발,웹,[],서울특별시 영등포구
홈페이지 리뉴얼 및 유지보수 운영 용역,"예상 금액119,000,000원","119,000,000원",180일,,,"['Linux', 'mariadb', 'MariaDB', 'MySQL', 'Node.js', 'React', 'spring framework', 'Vue.js', 'Windows Server']",서울특별시 성동구
고도몰 기반 반응형 웹 쇼핑몰 사이트 구축,"예상 금액4,000,000원","4,000,000원",20일,,,[],서울특별시 마포구
모바일 카지노 게임 개발을 위한 UI/UX 및 캐릭터 디자인,"예상 금액10,000,000원","10,000,000원",60일,,,"['ADOBE XD', 'Illustrator', 'Photoshop']",서울특별시 서초구
교육서비스 공동인증서 로그인 모듈 개발,"예상 금액4,000,000원","4,000,000원",20일,,,['Java'],서울특별시 구로구
클라이언트와 서버 통신을 위한 백엔드 개발,"예상 금액5,500,000원","5,500,000원",30일,,,"['Java', 'PostgreSQL']",서울특별시 마포구
지역 내 심부름 중개 플랫폼 Andorid 및 iOS 앱 구축,"예상 금액50,000,000원","50,000,000원",120일,,,"['Android', 'iOS']",경기도 평택시
텍스트 자료 DB화 라벨링 프로젝트,"예상 금액12,000,000원","12,000,000원",120일,,,[],인천광역시 연수구
실트론 웨이프 MES 운영(SM),"월 금액5,000,000","5,000,000",270일,개발,웹,['Java · 경력 무관'],경상북도 구미시
운송 서비스 기능 개발 및 서버 개발 (재택근무),"월 금액5,000,000","5,000,000",21일,개발,웹,"['Java · 경력 무관', 'PHP · 경력 무관', 'MySQL · 경력 무관', 'CodeIgniter · 경력 무관']",경상북도 포항시 남구
고도몰 기반 쇼핑몰 구축,"예상 금액7,000,000원","7,000,000원",22일,,,"['CSS', 'HTML', 'JavaScript', 'PHP']",서울특별시 강남구
운영중인 중고거래 앱 iOS 버전 개발,"예상 금액7,000,000원","7,000,000원",40일,,,"['iOS', 'Swift']",경기도 화성시
음악 합주 앱 서비스 내 악보 작성 기능 추가개발,"예상 금액15,000,000원","15,000,000원",60일,,,['Flutter'],경기도 고양시 일산서구
음악 합주 앱 서비스 내 음원 플레이어 고도화 개발,"예상 금액9,000,000원","9,000,000원",60일,,,['Flutter'],경기도 고양시 일산서구
B2B/B2C 전자기기 판매 쇼핑몰 앱 구축,"예상 금액20,000,000원","20,000,000원",90일,,,"['Android', 'iOS']",서울특별시 관악구
신발 공동구매 플랫폼 하이브리드 앱 구축,"예상 금액20,000,000원","20,000,000원",60일,,,"['Android', 'iOS']",서울특별시 강남구
누수탐사장비 Firmware 수정 및 변경,"예상 금액10,000,000원","10,000,000원",30일,,,['C#'],경기도 평택시
카페트레이딩/래퍼럴 기능이 탑재된 코인 거래소 구축,"예상 금액100,000,000원","100,000,000원",180일,,,[],서울특별시 강남구
커머스 플랫폼 서비스 기획,"월 금액6,000,000","6,000,000",90일,기획,레벨 미선택,[],서울특별시 강남구
"JUCE, Xcode를 이용한 오디오 이펙터 1종 개발","예상 금액2,000,000원","2,000,000원",7일,,,"['juce', 'Xcode']",서울특별시 마포구
오픈마켓 선정산 시스템 구축,"예상 금액400,000,000원","400,000,000원",180일,,,"['Azure', 'Firebase', 'Flutter', 'MySQL', 'Spring']",서울특별시 강동구
