프로젝트 제목,타입,금액,기간,유형,레벨,기술들,위치
포인트 기반의 콘텐츠 플랫폼 모바일 웹 및 앱 구축,"예상 금액9,000,000원","9,000,000원",30일,,,"['Android', 'iOS']",서울특별시 강남구
전문가 중재 기반의 헬스케어 EAP 서비스 PO,"월 금액6,000,000","6,000,000",90일,PO (프로덕트 오너),시니어,[],서울특별시 강남구
쇼피파이 앱스토어 등록 컨설팅,"예상 금액200,000원","200,000원",1일,,,['shopify'],서울특별시 강남구
ERP 내 추가 기능 django/vanila-js 개발,"예상 금액2,500,000원","2,500,000원",14일,,,"['Django', 'JavaScript']",서울특별시 강남구
"CMS(콘텐츠관리시스템) 리뉴얼 디자인, 퍼블리싱","예상 금액2,000,000원","2,000,000원",15일,,,"['CSS', 'Figma', 'HTML', 'JavaScript', 'jQuery', 'JSON', 'JSP', 'jstl']",경기도 용인시 기흥구
다국어를 지원하는 거래소 Frontend 개발,"월 금액6,900,000","6,900,000",30일,프론트엔드 개발자,미드 레벨,"['TailwindCSS · 경력 무관', 'CSS · 경력 무관', 'NextJS · 경력 무관', 'React · 경력 무관', 'TypeScript · 경력 무관']",서울특별시 강남구
아이패드용 화면 6P 디자인,"예상 금액1,500,000원","1,500,000원",14일,,,[],부산광역시 남구
웹 기반 ERP 시스템 기획 및 디자인,"월 금액4,200,000","4,200,000",120일,UI/UX 기획자,주니어,"['Figma · 경력 무관', 'Excel · 경력 무관', 'PowerPoint · 경력 무관']",경기도 수원시 권선구
경영지원 총무 특화 서비스 플랫폼 Frontend 개발,"월 금액1,000,000","1,000,000",2일,풀스택 개발자,미드 레벨,['React · 경력 무관'],서울특별시 마포구
블루투스 리모컨과 오토클리커가 결합한 Android 앱,"예상 금액800,000원","800,000원",7일,,,['Android'],경기도 시흥시
단기임대업 관련 중개 플랫폼 웹 및 앱 구축,"예상 금액30,000,000원","30,000,000원",120일,,,"['Android', 'iOS']",서울특별시 강남구
야외 방탈출 게임 프론트엔드 개발,"예상 금액10,000,000원","10,000,000원",60일,,,"['Android', 'Flutter', 'iOS']",서울특별시 금천구
안드로이드 모바일 기반 객체 탐지(Object detection) APP 개발,"예상 금액4,000,000원","4,000,000원",21일,,,"['Android', 'Kotlin', 'PyTorch', 'YOLO']",서울특별시 금천구
한진택배 API 연동 송장 출력 모듈 개발,"예상 금액1,500,000원","1,500,000원",15일,,,[],서울특별시 마포구
지역 소개 및 숙박 예약 웹 구축,"예상 금액5,000,000원","5,000,000원",30일,,,[],서울특별시 중구
모바일 청첩장 1P UI / UX 기획 및 디자인,"예상 금액500,000원","500,000원",5일,,,"['Design', 'Figma', 'UIUX']",서울특별시 강남구
공공 SI 웹 통합 퍼블리싱,"월 금액6,500,000","6,500,000",60일,프론트엔드 개발자,미드 레벨,"['JavaScript · 경력 무관', 'HTML5 · 경력 무관', 'CSS3 · 경력 무관', 'jQuery · 경력 무관', 'fullcalendar · 경력 무관', 'ckeditor · 경력 무관']",서울특별시 구로구
케이팝 역직구 배송대행지 웹 UI/UX 기획 및 디자인,"월 금액6,000,000","6,000,000",90일,UI/UX 디자이너,시니어,['Figma · 경력 무관'],서울특별시 구로구
Project Go : 고철업계 ERP 마무리 개발,"예상 금액13,000,000원","13,000,000원",40일,,,"['API연동', 'AWS', 'JavaScript', 'MySQL', 'nest', 'React', 'Vue.js']",서울특별시 영등포구
React 및 JAVA 기반 프로젝트 관리 시스템 리뉴얼 개발,"월 금액6,000,000","6,000,000",120일,풀스택 개발자,미드 레벨,"['React · 경력 무관', 'Spring Boot · 경력 무관', 'next.js · 경력 무관', 'Java · 경력 무관', 'JavaScript · 경력 무관']",경기도 성남시 분당구
룸미러 각도 변화에 따른 카메라 포즈 추정 알고리즘 개발,"예상 금액1,000,000원","1,000,000원",5일,,,['Python'],경기도 성남시 수정구
유/무형의 상품을 사고 팔 수 있는 중개 앱 구축,"예상 금액50,000,000원","50,000,000원",60일,,,"['Android', 'iOS']",경기도 용인시 수지구
쇼피파이 기반 자사 홈페이지 리뉴얼 개발,"월 금액5,000,000","5,000,000",60일,프론트엔드 개발자,미드 레벨,"['liquid · 3년 이상', 'JavaScript · 3년 이상', 'shopify · 3년 이상']",서울특별시 강남구
React Native 혹은 Flutter 기반 MTS 개발( 상주 필수 ),"예상 금액400,000,000원","400,000,000원",180일,,,"['Android', 'iOS']",서울특별시 종로구
Git API 기반 검색 기능 설계 및 개발,"예상 금액10,000,000원","10,000,000원",60일,,,['Git'],대구광역시 북구
고도몰 기반 기존 B2B 쇼핑몰 리뉴얼,"예상 금액10,000,000원","10,000,000원",60일,,,[],경상남도 김해시
STM32 기반 Telnet 통신 펌웨어 및 UI 개발,"예상 금액2,500,000원","2,500,000원",10일,,,"['C#', 'C']",대전광역시 대덕구
웹 이미지 Import 기능의 Figma 플러그인 설계 및 개발,"예상 금액2,500,000원","2,500,000원",14일,,,"['AWS', 'Java', 'React', 'Spring Boot', 'vercel']",서울특별시 강남구
닷넷(C#) 5년차 이상 개발 경력자 모집,"월 금액7,000,000","7,000,000",150일,풀스택 개발자,미드 레벨,"['C# · 5년 이상', 'Python · 1년 이상', 'DevExpress · 5년 이상']",서울특별시 강서구
Java 기반 교육용 플랫폼 웹 및 앱 Backend 개발,"월 금액8,400,000","8,400,000",60일,백엔드 개발자,테크 리드,"['Java · 9년 이상', 'Spring Boot · 9년 이상']",경기도 과천시
공공 DB포털 API활용한 신규통신판매업 수집 컨설팅,"예상 금액2,000,000원","2,000,000원",10일,,,[],경상남도 진주시
리뷰 작성 요청 및 작성된 리뷰 승인 앱 구축,"예상 금액10,000,000원","10,000,000원",45일,,,"['Android', 'iOS']",경기도 고양시 일산동구
"EXCEL 내보내기, 파일 업/다운 기능 개발","예상 금액1,000,000원","1,000,000원",5일,,,"['JavaScript', 'MySQL', 'next.js', 'Node.js', 'React']",충청남도 천안시 서북구
대기업 웹사이트 운영 오프쇼어 영역 관리,"월 금액7,000,000","7,000,000",120일,PL (프로젝트 리더),미드 레벨,[],서울특별시 구로구
O2O 실시간 경매 및 판매 플랫폼 구축,"예상 금액50,000,000원","50,000,000원",120일,,,[],서울특별시 강남구
USDT를 통한 투자 기능의 일본 서비스 앱 구축,"예상 금액20,000,000원","20,000,000원",60일,,,[],서울특별시 마포구
호텔 서비스 웹 및 앱 기획,"월 금액6,500,000","6,500,000",300일,UI 기획자,시니어,"['PowerPoint · 경력 무관', 'Excel · 경력 무관', 'Word · 경력 무관']",서울특별시 중구
Java 5년차 미드 레벨 프론트엔드 개발자 신규 구인,"월 금액6,000,000","6,000,000",120일,풀스택 개발자,미드 레벨,"['Java · 5년 이상', 'secureCoding · 2년 이상', 'JavaScript · 5년 이상']",경기도 안양시 동안구
운영 중인 앱 및 어드민의 오류 수정,"예상 금액1,500,000원","1,500,000원",10일,,,"['AWS', 'Django', 'MySQL', 'Python', 'React', 'React Native', 'Redux']",서울특별시 강남구
아임웹 기반 자사몰을 CRM과 연동 및 프록시 서버 구축,"예상 금액2,500,000원","2,500,000원",14일,,,[],서울특별시 관악구
홈페이지(JSP) 관리 유경험자 충원,"월 금액5,000,000","5,000,000",360일,풀스택 개발자,주니어,"['ASP · 5년 이하', 'MSSQL · 5년 이하', 'JSP · 5년 이하']",서울특별시 송파구
자사 CRM 플랫폼 구축,"예상 금액46,000,000원","46,000,000원",90일,,,"['Apache', 'HTML5', 'Java', 'JavaScript', 'Linux', 'Oracle']",부산광역시 기장군
운영중인 시스템에 전자서명 개발,"예상 금액20,000,000원","20,000,000원",45일,,,"['Angular', 'CSS', 'HTML', 'JavaScript', '.Net', 'TypeScript']",서울특별시 강남구
지원사업 관련 산출물 점검,"예상 금액2,500,000원","2,500,000원",14일,,,[],서울특별시 서초구
랜덤박스 모바일APP 구축,"예상 금액22,000,000원","22,000,000원",80일,,,[],경기도 수원시 권선구
중고 가구/가전 거래 웹 플랫폼 유지보수/업데이트,"예상 금액3,000,000원","3,000,000원",15일,,,"['Firebase', 'GitHub', 'JavaScript', 'Vue.js']",경기도 수원시 권선구
PHP 기반 리스폰시브 웹 다국어 대응 개발,"예상 금액1,250,000원","1,250,000원",7일,,,[],해외 해외
당사 소개 및 회원 관리 반응형 웹 구축,"예상 금액20,000,000원","20,000,000원",60일,,,[],서울특별시 관악구
소형화를 위한 기존 PCB 회로도 변경,"예상 금액3,000,000원","3,000,000원",14일,,,[],강원도 원주시
Docker 기반 웹 contest 삭제 기능 설계 및 개발,"예상 금액300,000원","300,000원",1일,,,"['AWS', 'Bootstrap', 'CSS', 'Docker', 'HTML', 'JavaScript', 'Node.js']",부산광역시 동래구
중고 물품 위탁 거래 플랫폼 모바일 웹 및 앱 개발,"예상 금액30,000,000원","30,000,000원",90일,,,"['Android', 'iOS']",경기도 하남시
당사 서비스 Web 및 APP QA,"월 금액500,000","500,000",5일,QA 엔지니어,주니어,['ms office · 경력 무관'],서울특별시 서초구
Nest.js 기반 골프매장관리 유지보수 및 고도화 API 개발,"월 금액6,500,000","6,500,000",180일,백엔드 개발자,미드 레벨,"['Node.js · 경력 무관', 'nest.js · 경력 무관']",경기도 성남시 분당구
MSSQL 기반 골프매장관리 유지보수 및 고도화 DB설계/개발,"월 금액6,500,000","6,500,000",180일,DBA,미드 레벨,['MSSQL · 경력 무관'],경기도 성남시 분당구
운영 중인 웹을 앱 패키징 및 네이티브 기능 개발,"예상 금액10,000,000원","10,000,000원",45일,,,"['Android', 'AWS', 'Bootstrap', 'Flutter', 'iOS', 'Java', 'MySQL', 'Spring Boot']",서울특별시 강남구
React 기반  AI MLOps 플랫폼 서비스 Frontend 개발 (주 4회 재택근무),"월 금액7,000,000","7,000,000",180일,프론트엔드 개발자,시니어,"['React · 10년 이하', 'next.js · 경력 무관', 'TypeScript · 경력 무관']",서울특별시 강남구
스마트공장 시스템 JAVA 개발,"월 금액5,500,000","5,500,000",210일,풀스택 개발자,미드 레벨,"['Java · 7년 이하', 'Vue · 7년 이하', 'MySQL · 7년 이하', 'Spring · 7년 이하', 'MyBatis · 7년 이하']",서울특별시 강남구
설비 및 센서 데이터 모니터링 WEB 개발(단발성 프로젝트),"월 금액8,000,000","8,000,000",30일,풀스택 개발자,시니어,"['.Net · 경력 무관', 'Java · 경력 무관', 'C# · 경력 무관', 'Vue.js · 경력 무관', 'MSSQL · 경력 무관']",서울특별시 금천구
단기임대업 관련 중개 플랫폼 웹 및 앱 구축,"예상 금액50,000,000원","50,000,000원",120일,,,"['Android', 'iOS']",서울특별시 강남구
반응형 랜딩 페이지 1P UI/UX 기획 및 디자인,"예상 금액400,000원","400,000원",2일,,,[],서울특별시 강서구
다이렉트 자동차 보험 비교견적 및 영업 반응형웹,"예상 금액30,000,000원","30,000,000원",70일,,,[],서울특별시 종로구
차량의 관제 모니터링 화면 기획/디자인/웹 퍼블리싱,"예상 금액1,500,000원","1,500,000원",7일,,,[],인천광역시 계양구
사내 영업관리 프로그램 구축,"예상 금액15,000,000원","15,000,000원",60일,,,[],서울특별시 용산구
의료영상 분석 웹서비스 프론트 기능 개발,"예상 금액50,000,000원","50,000,000원",90일,,,"['DICOM', 'React', 'TypeScript']",서울특별시 서초구
모빌리티 서비스 개발 관련 기획 문서 보완 및 작성,"예상 금액5,000,000원","5,000,000원",30일,,,"['Excel', 'PowerPoint', '한글']",서울특별시 강남구
내부 솔루션의 백엔드 개발 (재택근무),"월 금액3,500,000","3,500,000",105일,백엔드 개발자,미드 레벨,['GCP · 경력 무관'],
선량계산 알고리즘(interpolation) Python 코드 경량화,"예상 금액7,000,000원","7,000,000원",30일,,,"['DICOM', 'Python']",서울특별시 서초구
통합 관제 및 모니터링 시스템 구축,"예상 금액30,000,000원","30,000,000원",150일,,,[],서울특별시 동대문구
보안 취약점 진단 및 조치 웹 기반 Tool 개발,"월 금액6,000,000","6,000,000",120일,풀스택 개발자,미드 레벨,"['Java · 경력 무관', 'Spring · 경력 무관', 'JavaScript · 경력 무관', 'React · 경력 무관', 'Redux · 경력 무관']",서울특별시 금천구
웹 홈페이지의 메인 페이지 상단 비주얼 영역 디자인,"예상 금액5,000,000원","5,000,000원",20일,,,"['Adobe Photoshop', 'Illustrator']",서울특별시 영등포구
자체 개발 DAW 동작을 위한 웹 개발,"예상 금액18,000,000원","18,000,000원",55일,,,[],서울특별시 노원구
C# WPF CCTV RTSP 뷰어 개발,"예상 금액400,000원","400,000원",1일,,,"['FFmpeg', '.Net', 'RTSP', 'WPF']",서울특별시 강서구
공간대여 플랫폼 웹 및 앱 구축,"예상 금액20,000,000원","20,000,000원",100일,,,[],서울특별시 강남구
신규 스크린 골프 코스 제작 및 기타 프랍 제작,"월 금액5,000,000","5,000,000",120일,3D 디자이너,미드 레벨,[],서울특별시 금천구
신규 스크린 골프 프로그램 UI/UX 디자인,"월 금액5,000,000","5,000,000",120일,UI/UX 디자이너,미드 레벨,['Adobe Photoshop · 경력 무관'],서울특별시 금천구
신규 스크린 골프 서비스 Unity3D 개발,"월 금액6,000,000","6,000,000",120일,풀스택 개발자,미드 레벨,"['C# · 10년 이하', 'unity3d · 경력 무관']",서울특별시 금천구
"연극 소개 및 티켓, 굿즈 판매 서비스 반응형 웹 구축","예상 금액9,000,000원","9,000,000원",45일,,,[],서울특별시 중구
교육 사이트 개편 마무리 Frontend 및 Backend 개발(재택 근무),"월 금액4,500,000","4,500,000",60일,풀스택 개발자,미드 레벨,"['Laravel · 경력 무관', 'PHP · 경력 무관']",
Flutter 기반 실시간 공간 스캔 3D 랜더링 구현(flutter 외 타 기술 스텍으로 제안 가능),"예상 금액15,000,000원","15,000,000원",60일,,,[],경기도 성남시 분당구
표준화 서비스 홈페이지 구축 관련 웹 기획,"월 금액5,000,000","5,000,000",60일,UI/UX 기획자,미드 레벨,['Figma · 경력 무관'],경기도 성남시 분당구
전문 지식 제공 반응형 웹 리디자인,"예상 금액6,000,000원","6,000,000원",14일,,,['Figma'],서울특별시 구로구
HTML/PPT 매뉴얼 관련 작업,"월 금액3,000,000","3,000,000",30일,퍼블리셔,주니어,"['HTML · 2년 이하', 'PowerPoint · 2년 이하']",서울특별시 서초구
폐쇄형 데이팅 iOS/안드로이드 앱 구축,"예상 금액45,000,000원","45,000,000원",100일,,,[],서울특별시 용산구
AI 챗봇 구축,"예상 금액50,000,000원","50,000,000원",120일,,,['인텐드 기반 진보된 대화형 챗봇 개발 경험'],서울특별시 송파구
AI 아바타 환자를 대상으로한 훈련 시뮬레이션 Web 개발,"예상 금액5,000,000원","5,000,000원",40일,,,[],서울특별시 강남구
필기 MVP 앱 Android 및 iOS 개발,"예상 금액7,000,000원","7,000,000원",20일,,,"['React Native', 'Swift']",서울특별시 성북구
E커머스 PG사 결제 모듈 변경 및 개발,"예상 금액1,500,000원","1,500,000원",5일,,,"['Android', 'iOS', 'Node.js']",서울특별시 강남구
B2B API 시스템의 개선을 위한 추가적인 인프라 구축,"예상 금액4,000,000원","4,000,000원",10일,,,"['AWS', 'JSON']",서울특별시 송파구
법무 관리 시스템 FrontEnd 및 BackEnd 개발,"월 금액7,500,000","7,500,000",90일,풀스택 개발자,시니어,"['React · 2년 이상', 'Node.js · 2년 이상', 'MySQL · 2년 이상']",경기도 성남시 분당구
테크니컬 라이팅 매뉴얼 및 데일리 리포트 앱 구축,"예상 금액30,000,000원","30,000,000원",90일,,,"['Java', 'MySQL']",서울특별시 용산구
AI SaaS/모바일 UI/UX 디자인(주 3일 재택),"월 금액3,750,000","3,750,000",90일,UI/UX 디자이너,미드 레벨,"['Figma · 경력 무관', 'Zeplin · 경력 무관']",서울특별시 금천구
iOS XCode 플랫폼 활용 Unity 개발,"월 금액4,500,000","4,500,000",30일,iOS 개발자,주니어,"['Unity · 경력 무관', 'C# · 경력 무관', 'Xcode · 경력 무관']",경기도 부천시 원미구
공유오피스 운영사의 홈페이지와 입주사 관리 시스템 구축,"예상 금액25,000,000원","25,000,000원",70일,,,[],경기도 파주시
운영 중인 PHP 기반 커뮤니티 사이트 유지보수,"예상 금액5,000,000원","5,000,000원",90일,,,[],서울특별시 금천구
대시보드 서비스 기획 및 설계(서비스 런칭 ~ 운영 경험자),"월 금액7,500,000","7,500,000",90일,서비스 기획자,시니어,[],경상남도 창원시 마산회원구
MS Power Automate 기반 자동화 개발,"예상 금액7,000,000원","7,000,000원",30일,,,['microsoft power automate'],서울특별시 강남구
글로벌 eSIM 브랜드 한국시장 마케팅 크리에이티브 디자인(재택/주 20시간),"월 금액2,500,000","2,500,000",90일,그래픽 디자이너,미드 레벨,"['Adobe Photoshop · 경력 무관', 'Illustrator · 경력 무관']",
다양한 정부 사이트 출력물 스크래핑 시스템 구축,"예상 금액30,000,000원","30,000,000원",80일,,,[],인천광역시 계양구
PACS 연동 병원 대기환자 안내 시스템 구축,"예상 금액17,000,000원","17,000,000원",70일,,,"['DICOM', 'pacs']",경기도 부천시 원미구
마이크로사이트 급의 반응형 홈페이지 개발,"예상 금액2,000,000원","2,000,000원",14일,,,[],서울특별시 강남구
TMS 연동 드라이버 모바일앱 구축,"예상 금액36,000,000원","36,000,000원",90일,,,[],대전광역시 유성구
1020 익명 기반 커뮤니티 웹사이트 리뉴얼 디자인/개발,"예상 금액21,000,000원","21,000,000원",80일,,,"['AWS', 'CSS', 'Django', 'Docker', 'EC2(AWS)', 'elasticache', 'Figma', 'Google Tag Manager', 'GoogleAnalytics', 'HTML', 'JavaScript', 'jQuery', 'MySQL', 'Python', 'RDS(AWS)']",서울특별시 강남구
QR 코드 촬영 및 URL 전송 Android 및 iOS 설계 및 개발,"예상 금액1,250,000원","1,250,000원",7일,,,[],서울특별시 서초구
한국인/외국인 유학생 채용 플랫폼 고도화 구축,"예상 금액10,000,000원","10,000,000원",60일,,,"['Kotlin', 'React']",서울특별시 강남구
듀티 관리/생리 달력/커뮤니티 모바일앱 및 자사몰(Web) 구축,"예상 금액35,000,000원","35,000,000원",90일,,,"['Android', 'iOS', 'React', 'React Native']",충청남도 천안시 서북구
AI 기반 챗봇을 활용한 상담 및 매칭 시스템 구축,"예상 금액30,000,000원","30,000,000원",90일,,,[],서울특별시 강남구
버블슈터 게임 개발,"예상 금액3,000,000원","3,000,000원",14일,,,"['CSS', 'HTML', 'PHP', 'Unity']",서울특별시 강남구
요식업(프랜차이즈) 홍보 홈페이지 구축,"예상 금액2,000,000원","2,000,000원",10일,,,[],부산광역시 부산진구
자사몰(웹) UI/UX 기획 및 디자인,"예상 금액9,000,000원","9,000,000원",30일,,,['Figma'],서울특별시 강남구
여러마리 소에 대한 pose estimation 모델 개발,"예상 금액2,000,000원","2,000,000원",40일,,,"['PyTorch', 'TensorFlow']",서울특별시 금천구
보안 솔루션의 Web Console 백엔드 개발,"월 금액6,800,000","6,800,000",360일,백엔드 개발자,시니어,"['Java · 경력 무관', 'Spring Boot · 경력 무관', 'MariaDB · 경력 무관', 'Git · 경력 무관', 'Elasticsearch · 경력 무관', 'OpenSearch · 경력 무관', 'jpa · 경력 무관', 'jwt · 경력 무관']",서울특별시 강남구
IOT 모니터링 및 원격 제어 웹 백엔드개발,"월 금액6,000,000","6,000,000",60일,백엔드 개발자,미드 레벨,"['Java · 5년 이상', 'Spring Boot · 5년 이상']",서울특별시 금천구
시스템 연동 개발을 위한 IT 기획 및 PM,"월 금액6,300,000","6,300,000",30일,서비스 기획자,미드 레벨,"['PowerPoint · 경력 무관', 'Excel · 경력 무관', 'Word · 경력 무관']",서울특별시 서대문구
논문 형태의 포스터 디자인 및 퍼블리싱,"예상 금액3,200,000원","3,200,000원",30일,,,"['디자인', '디자인 및 퍼블리싱', '웹퍼블리싱']",인천광역시 부평구
상품권 구입/매입 사이트 개발,"예상 금액6,500,000원","6,500,000원",30일,,,[],서울특별시 중랑구
상권관리 시스템(지도 기반) JAVA 백엔드 개발,"월 금액5,000,000","5,000,000",180일,백엔드 개발자,미드 레벨,"['PostgreSQL · 경력 무관', 'Git · 경력 무관', 'Java · 경력 무관', 'Spring · 경력 무관']",서울특별시 강남구
닷넷(C#) 5년차 이상 개발 경력자 모집,"월 금액7,000,000","7,000,000",150일,풀스택 개발자,미드 레벨,"['C# · 5년 이상', 'Python · 1년 이상', 'DevExpress · 5년 이상']",경기도 성남시 분당구
외국인 여행객 대상 맞춤 여행 플랫폼 구축,"예상 금액25,000,000원","25,000,000원",90일,,,[],대구광역시 북구
4050 세대를 위한 커뮤니티 앱 리뉴얼/신규 구축,"예상 금액60,000,000원","60,000,000원",100일,,,[],서울특별시 강남구
MSSQL 기반 프로시저 개발 (인도 출장 근무),"월 금액8,000,000","8,000,000",60일,백엔드 개발자,시니어,['MSSQL · 5년 이상'],해외 해외
공기살균정화기 연동 iOS 앱 개발,"예상 금액8,000,000원","8,000,000원",30일,,,"['BLE', 'iOS']",경기도 부천시 원미구
Elasticsearch/Next.js 소스 분석 및 오류/기능 개선,"월 금액8,000,000","8,000,000",90일,풀스택 개발자,시니어,"['Elasticsearch · 3년 이상', 'next.js · 3년 이상']",서울특별시 서초구
입점형 커머스 iOS 앱 Client 개발,"예상 금액5,000,000원","5,000,000원",45일,,,[],광주광역시 동구
의료 데이터(청력 audio graph) 이미지 정량화 분석,"월 금액6,700,000","6,700,000",90일,풀스택 개발자,미드 레벨,['Python · 경력 무관'],서울특별시 영등포구
브랜드 콘텐츠 및 커머스 플랫폼 반응형 웹 구축,"예상 금액28,000,000원","28,000,000원",120일,,,[],서울특별시 송파구
관광 커뮤니티 앱 서비스 리뉴얼 간 풀스택 개발자 구인,"월 금액5,500,000","5,500,000",90일,풀스택 개발자,미드 레벨,"['React · 경력 무관', 'React Native · 경력 무관', 'Node.js · 경력 무관', 'Nestjs · 경력 무관']",서울특별시 마포구
닷넷(C#)  중급 이상 개발자 신규 구인,"월 금액6,500,000","6,500,000",120일,풀스택 개발자,미드 레벨,"['.Net · 6년 이상', 'JavaScript · 6년 이상', 'jQuery · 6년 이상', 'C# · 6년 이상', 'ASP.NET · 6년 이상', 'Webform · 6년 이상']",부산광역시 부산진구
이미지 데이터를 활용한 MLOps 구축( 재택 근무 ),"월 금액7,500,000","7,500,000",120일,DevOps 엔지니어,시니어,[],
그누보드 기반 웹사이트 개발자,"월 금액5,000,000","5,000,000",90일,풀스택 개발자,미드 레벨,"['그누보드 · 경력 무관', 'PHP · 경력 무관', 'MySQL · 경력 무관', 'jQuery · 경력 무관', 'JavaScript · 경력 무관', 'HTML · 경력 무관', 'CSS · 경력 무관']",경기도 수원시 영통구
대기업 웹사이트 운영 오프쇼어 영역 관리,"월 금액6,000,000","6,000,000",120일,PL (프로젝트 리더),미드 레벨,[],서울특별시 구로구
회사 소개 렌딩 페이지 1P 반응형 웹 구축,"예상 금액3,000,000원","3,000,000원",21일,,,[],경기도 고양시 일산동구
국비지원 부트캠프 반응형 웹 구축,"예상 금액25,000,000원","25,000,000원",90일,,,[],서울특별시 강남구
자사몰에 채널톡 API 연동 개발,"예상 금액250,000원","250,000원",1일,,,"['MySQL', 'PHP', '카페24']",경기도 안양시 만안구
Flutter 기반 틀린그림찾기 게임과 리워드 시스템 앱 개발,"예상 금액15,000,000원","15,000,000원",40일,,,"['Firebase', 'Firebase Cloud Function', 'Flutter']",서울특별시 마포구
회사 소개 및 견적 문의 반응형 웹 디자인,"예상 금액1,500,000원","1,500,000원",10일,,,"['Figma', 'XD']",서울특별시 성동구
설문 및 상품 추천 페이지 개선 개발,"예상 금액800,000원","800,000원",7일,,,"['AWS', 'React']",서울특별시 중구
ABAP 기반 HR SaaS 솔루션 Backend 개발,"월 금액7,500,000","7,500,000",120일,백엔드 개발자,시니어,"['ABAP · 10년 이하', 'HR · 10년 이하']",서울특별시 마포구
임베딩(NLP) 및 LLM을 결합한 신규 솔루션 개발,"예상 금액40,000,000원","40,000,000원",180일,,,"['AWS', 'Spring']",경기도 안양시 동안구
API 연동을 통한 커머스 데이터 자동 수집 및 광고 성과 크롤링,"예상 금액6,000,000원","6,000,000원",40일,,,[],서울특별시 강남구
자사몰 구축과 온라인 디자인 편집 시스템 구축,"예상 금액50,000,000원","50,000,000원",120일,,,[],경기도 하남시
직업 관련 커뮤니티 Android 및 iOS 앱 구축,"예상 금액20,000,000원","20,000,000원",60일,,,[],서울특별시 강남구
해외선물 모의 투자 게임 윈도우 Client 개발,"예상 금액10,000,000원","10,000,000원",90일,,,[],서울특별시 강남구
환자 데이터 등록 및 관리 서비스 구축,"예상 금액20,000,000원","20,000,000원",60일,,,"['CSS', 'React', 'React Native', 'Spring Boot']",서울특별시 금천구
웹 트레이딩 시스템 기반 중개 플랫폼 웹 구축,"예상 금액30,000,000원","30,000,000원",120일,,,[],서울특별시 강남구
안드로이드 키오스크 APP 개발,"월 금액4,000,000","4,000,000",150일,프론트엔드 개발자,미드 레벨,['Android · 경력 무관'],서울특별시 강남구
통합 프로필 관리 서비스 웹 및 앱 구축,"예상 금액8,000,000원","8,000,000원",45일,,,"['Android', 'iOS']",서울특별시 마포구
회사 홈페이지 리뉴얼 반응형 웹 디자인,"예상 금액3,000,000원","3,000,000원",21일,,,['Figma'],서울특별시 중구
기존 소스 코드 활용 B2B 입점몰 구축,"예상 금액12,000,000원","12,000,000원",60일,,,[],서울특별시 도봉구
인지능력 평가 및 강화 웹사이트 마무리 개발,"예상 금액15,000,000원","15,000,000원",60일,,,[],서울특별시 강남구
API를 활용한 원가관리 SW 개발,"예상 금액3,000,000원","3,000,000원",30일,,,[],서울특별시 강남구
PoC 개발을 위한 Python 기반 AI 개발,"월 금액7,000,000","7,000,000",60일,백엔드 개발자,미드 레벨 외 1개,"['Python · 경력 무관', 'machine learning · 경력 무관', 'Deep Learning · 경력 무관']",대전광역시 유성구
PoC 개발을 위한 Python 기반 AI 개발,"월 금액7,000,000","7,000,000",90일,백엔드 개발자,미드 레벨 외 1개,"['Python · 경력 무관', 'machine learning · 경력 무관', 'Deep Learning · 경력 무관']",대전광역시 유성구
상권관리 시스템(지도 기반) JAVA 백엔드 개발,"월 금액4,500,000","4,500,000",180일,백엔드 개발자,미드 레벨,"['PostgreSQL · 경력 무관', 'Git · 경력 무관', 'JAVA, JSP, Spring Framework · 경력 무관']",서울특별시 강남구
타겟 사이트 게시판 자동 글 등록 프로그램 설계 및 개발,"예상 금액4,000,000원","4,000,000원",7일,,,[],서울특별시 중랑구
대기업 웹사이트 운영 오프쇼어 영역 관리,"월 금액6,000,000","6,000,000",120일,PL (프로젝트 리더),미드 레벨,[],서울특별시 구로구
안드로이드탭 키오스크 신용카드 결제(CAT) 기능 개발,"예상 금액3,000,000원","3,000,000원",14일,,,"['Android', 'Kotlin']",서울특별시 마포구
당사 서비스 Web 및 APP QA,"월 금액750,000","750,000",7일,QA 엔지니어,주니어,['ms office · 경력 무관'],서울특별시 서초구
자격증대비 학습용 Android 및 iOS 앱 구축,"예상 금액16,000,000원","16,000,000원",60일,,,[],강원도 원주시
육아 소통 Android/iOS 앱 10P 디자인,"예상 금액1,500,000원","1,500,000원",15일,,,[],울산광역시 남구
가전제품 설명서 제작/홈페이지 제작 디자인,"월 금액3,300,000","3,300,000",30일,편집 디자이너,주니어,"['Photoshop · 경력 무관', 'Illustrator · 경력 무관']",서울특별시 영등포구
헬스케어 분야 회사 홈페이지 통합 리뉴얼 디자인,"월 금액4,000,000","4,000,000",120일,UI/UX 디자이너,미드 레벨,['Figma · 경력 무관'],서울특별시 영등포구
DWIN DGUS 툴 사용하여 앱 수정 및 개발,"예상 금액1,500,000원","1,500,000원",7일,,,['DGUS LCD'],경기도 광명시
.Net 기반 ERP프로그램 개선 개발,"월 금액7,000,000","7,000,000",180일,프론트엔드 개발자,미드 레벨,['.Net · 4~12년'],부산광역시 강서구
